Field Name ,Latitude ,Longitude 
PL South 6,38.291379,-88.437253
PL South 7,38.287992,-88.441629
PL South 8,38.287936,-88.437078
PL South 9,38.287889,-88.432824
Pollard 30 ,38.291142,-88.455478
Pollard 80 ,38.237347,-88.405246
Poorman 1 ,38.246340,-88.365486
Poorman 2,38.242729,-88.362898
Poorman 3 4,38.242783,-88.370628
Poorman 5,38.241015,-88.377345
Poorman 6,38.235592,-88.377439
Porter 1 ,37.919737,-88.466793
Porter 2,37.916080,-88.466824
Porter 3,37.915852,-88.469968
Ranch 1 ,38.244168,-88.561036
Ranch 2,38.241014,-88.567320
Ranch 3,38.239743,-88.570051
Ranch 4,38.243574,-88.579038
Ranch 5,38.247024,-88.573884
Ranch 6,38.245908,-88.565167
Randy 80 ,38.247131,-88.597032
Randy House ,38.219723,-88.579329
Rich East Side,38.196479,-88.535304
Richards 1,38.273159,-88.577235
Richards 2,38.276309,-88.579540
Richards 3,38.272487,-88.589928
Rick 80 ,38.236255,-88.588156
Robert East 40 ,38.232819,-88.586048
Robert West 40 ,38.232520,-88.590539
Roberts 190 1,37.888787,-88.492114
Roberts 190 2,37.886997,-88.496614
Roberts 190 3,37.883307,-88.498931
Roberts 20,37.894194,-88.481754
Roberts 60,37.880552,-88.459885
Roberts Hill 40,37.901512,-88.482868
Roberts W 1,37.904877,-88.515461
Roberts W 2,37.899684,-88.515495
Roberts W 3,37.897904,-88.524922
Roberts W 4,37.897670,-88.519050
Roberts W 6,37.893890,-88.525371
Roberts W 7,37.893846,-88.522479
Roberts W 8,37.894015,-88.518300
Roberts W 9,37.894082,-88.511885
Ronnie Webb House ,38.242724,-88.479830
Rost 40,38.210784,-88.572857
Saline 1,37.886807,-88.480530
Saline 2,37.884218,-88.480502
Saline 3,37.886105,-88.473700
Saline 4,37.884246,-88.486928
Saline 5,37.882251,-88.480576
Saline 6,37.879558,-88.478665
Saline 7,37.883212,-88.489742
Scott Hunt 1 ,37.992867,-88.487215
Seidel 1,38.338994,-88.484508
Seidel 2,38.334328,-88.482384
Seidel 3,38.328919,-88.482263
Seidel 4,38.325337,-88.481343
Seidel 5,38.320378,-88.479894
Seidel 6,38.327991,-88.477726
Seidel 7,38.316741,-88.477960
Seidel House ,38.320064,-88.469859
Skillet 70 ,38.311506,-88.478873
Slykhuis 40,37.904790,-88.520347
Sutton 40,37.897934,-88.501173
Sutton 80,37.896146,-88.496687
Ted Delafield ,38.136156,-88.609679
Terry 80,38.207569,-88.606698
Thomason 30,38.265336,-88.603664
Turkey Hill ,38.100478,-88.518295
Vaughan 1,38.254315,-88.371671
Vaughan 2,38.260437,-88.378675
Walthes ,38.225222,-88.583937
Wayne 40,38.232046,-88.433510
Wayne Morris House ,38.200075,-88.529415
Wayne Woods ,38.217418,-88.509134
Webb 80 ,38.228338,-88.435866
Wellen 100,38.230736,-88.496572
Wolf East ,37.820765,-88.335345
Wolf Main ,37.822516,-88.346469
